snr_dB,p_fa,p_md
10.0,1.0e-6,0.9442117118438305
10.0,1.0115911122238297e-6,0.9439491614444122
10.0,1.0233165783302448e-6,0.9436855175346232
10.0,1.0351779556301762e-6,0.9434207764519036
10.0,1.0471768194855203e-6,0.9431549345160284
10.0,1.05931476351837e-6,0.9428879880511487
10.0,1.0715933998226711e-6,0.942619933365869
10.0,1.084014359178331e-6,0.9423507667678104
10.0,1.09657929126781e-6,0.9420804845561783
10.0,1.1092898648952228e-6,0.9418090830241552
10.0,1.1221477682079801e-6,0.9415365584542098
10.0,1.135154708920999e-6,0.9412629071322898
10.0,1.1483124145435112e-6,0.9409881253267927
10.0,1.1616226326085019e-6,0.9407122093029091
10.0,1.1750871309048075e-6,0.9404351553250194
10.0,1.1887076977119033e-6,0.9401569596454791
10.0,1.2024861420374122e-6,0.9398776185118953
10.0,1.216424293857368e-6,0.9395971281630118
10.0,1.2305240043592616e-6,0.9393154848358809
10.0,1.244787146187906e-6,0.9390326847596161
10.0,1.2592156136941508e-6,0.9387487241538306
10.0,1.2738113231864784e-6,0.9384635992358481
10.0,1.288576213185518e-6,0.9381773062169297
10.0,1.303512244681509e-6,0.9378898412987229
10.0,1.3186214013947485e-6,0.9376012006804939
10.0,1.3339056900390587e-6,0.9373113805535151
10.0,1.3493671405883065e-6,0.937020377102003
10.0,1.3650078065460137e-6,0.9367281865061422
10.0,1.3808297652180924e-6,0.9364348049409349
10.0,1.3968351179887398e-6,0.9361402285710861
10.0,1.4130259905995336e-6,0.9358444535623416
10.0,1.4294045334317611e-6,0.9355474760663129
10.0,1.4459729217920196e-6,0.935249292233904
10.0,1.46273335620113e-6,0.934949898212396
10.0,1.4796880626863962e-6,0.9346492901388026
10.0,1.4968392930772555e-6,0.9343474641433089
10.0,1.514189325304352e-6,0.9340444163564909
10.0,1.5317404637020798e-6,0.9337401428970935
10.0,1.5494950393146317e-6,0.9334346398832596
10.0,1.567455410205595e-6,0.9331279034225364
10.0,1.5856239617711372e-6,0.9328199296230184
10.0,1.60400310705682e-6,0.9325107145835848
10.0,1.6225952870780872e-6,0.9322002543938688
10.0,1.6414029711444665e-6,0.9318885451489614
10.0,1.6604286571875296e-6,0.9315755829253117
10.0,1.6796748720926532e-6,0.9312613638065248
10.0,1.699144172034626e-6,0.9309458838614726
10.0,1.7188391428171457e-6,0.9306291391590236
10.0,1.7387624002162504e-6,0.9303111257609945
10.0,1.7589165903277326e-6,0.9299918397224898
10.0,1.7793043899185774e-6,0.9296712770992499
10.0,1.7999285067824765e-6,0.929349433935748
10.0,1.8207916800994625e-6,0.9290263062744422
10.0,1.8418966807997108e-6,0.9287018901510804
10.0,1.8632463119315598e-6,0.9283761816004044
10.0,1.8848434090337953e-6,0.9280491766465936
10.0,1.906690840512252e-6,0.9277208713124883
10.0,1.928791508020778e-6,0.9273912616169186
10.0,1.9511483468466163e-6,0.9270603435722211
10.0,1.9737643263002554e-6,0.9267281131868081
10.0,1.9966424501097934e-6,0.9263945664628553
10.0,2.0197857568198785e-6,0.9260596994005597
10.0,2.0431973201952705e-6,0.9257235079943362
10.0,2.066880249629082e-6,0.9253859882339823
10.0,2.09083769055575e-6,0.9250471361042956
10.0,2.115072824868795e-6,0.9247069475863278
10.0,2.1395888713434217e-6,0.9243654186586606
10.0,2.1643890860640204e-6,0.9240225452910371
10.0,2.1894767628566207e-6,0.9236783234535362
10.0,2.2148552337263594e-6,0.9233327491103378
10.0,2.240527869300018e-6,0.9229858182213169
10.0,2.266498079273693e-6,0.9226375267421498
10.0,2.2927693128656486e-6,0.9222878706259634
10.0,2.3193450592744277e-6,0.9219368458191374
10.0,2.3462288481422623e-6,0.921584448266065
10.0,2.373424250023866e-6,0.921230673906581
10.0,2.4009348768606516e-6,0.9208755186778592
10.0,2.4287643824604506e-6,0.9205189785134658
10.0,2.4569164629827902e-6,0.9201610493425258
10.0,2.4853948574297983e-6,0.919801727087608
10.0,2.5142033481427965e-6,0.9194410076738582
10.0,2.5433457613046483e-6,0.9190788870185542
10.0,2.5728259674479322e-6,0.918715361036207
10.0,2.6026478819690047e-6,0.9183504256394496
10.0,2.63281546564802e-6,0.9179840767359284
10.0,2.663332725174981e-6,0.9176163102307451
10.0,2.694203713681882e-6,0.9172471220248939
10.0,2.725432531281028e-6,0.9168765080177843
10.0,2.7570233256095828e-6,0.9165044641058195
10.0,2.7889802923804397e-6,0.916130986181113
10.0,2.821307675939471e-6,0.9157560701329077
10.0,2.8540097698292375e-6,0.9153797118477371
10.0,2.8870909173592346e-6,0.9150019072109158
10.0,2.9205555121827453e-6,0.914622652101778
10.0,2.95440799888038e-6,0.9142419424004006
10.0,2.9886528735503824e-6,0.9138597739829941
10.0,3.0232946844057763e-6,0.9134761427212553
10.0,3.0583380323784318e-6,0.9130910444866893
10.0,3.0937875717301367e-6,0.9127044751487872
10.0,3.1296480106707505e-6,0.912316430572166
10.0,3.165924111983521e-6,0.9119269066210478
10.0,3.20262069365765e-6,0.9115358991577218
