AMP_convergence_fraction,EbN0_dB,J,Ka,Pe_mean,Pe_median,Pe_standard_error,allocation,elapsed_seconds,mean_AMP_iterations,mean_final_list_size,missing_users,oversized_list_fraction,transmitted_users,tree_overflow_fraction,trials
0.92,2.0,15,50,0.8599999999999999,0.86,0.005195180361633174,flat,7.606606960296631,27.03,7.04,4300,0.0,5000,0.0,100
0.92,2.25,15,50,0.7911999999999999,0.8,0.006339359174827907,flat,11.389178276062012,27.28,10.51,3956,0.0,5000,0.0,100
0.92,2.5,15,50,0.6912,0.68,0.007403630013293303,flat,12.734875202178955,27.46,15.54,3456,0.0,5000,0.0,100
0.92,2.75,15,50,0.5692,0.56,0.007792355746551108,flat,11.304789066314697,27.4,21.68,2846,0.0,5000,0.0,100
0.92,3.0,15,50,0.45099999999999996,0.45,0.0076084748070088856,flat,11.364289045333862,27.13,27.62,2255,0.0,5000,0.0,100
0.93,3.25,15,50,0.3408,0.34,0.0072414073078359426,flat,21.92011785507202,26.02,33.17,1704,0.0,5000,0.0,100
0.93,3.5,15,50,0.23800000000000004,0.24,0.006651497894641796,flat,22.523013591766357,25.11,38.33,1190,0.0,5000,0.0,100
0.93,3.75,15,50,0.16160000000000005,0.16,0.005435981879099579,flat,11.229814291000366,24.2,42.15,808,0.0,5000,0.0,100
0.93,4.0,15,50,0.10400000000000001,0.1,0.004339156925980302,flat,6.295244932174683,23.36,45.02,520,0.0,5000,0.0,100
0.93,4.25,15,50,0.064,0.06,0.0034699285353453667,flat,20.841203212738037,22.36,47.04,320,0.01,5000,0.0,100
0.93,4.5,15,50,0.03900000000000001,0.04,0.0025800321037858535,flat,11.77187991142273,21.41,48.29,195,0.04,5000,0.0,100
0.93,4.375,15,50,0.04979999999999998,0.04,0.0029609580759059604,flat,12.244950771331787,21.87,47.74,249,0.01,5000,0.0,100
0.93,4.3125,15,50,0.055999999999999994,0.06,0.0033272672075904987,flat,20.445953607559204,22.16,47.43,280,0.0,5000,0.0,100
0.93,4.34375,15,50,0.05219999999999999,0.04,0.0030996252624594426,flat,20.981853485107422,22.03,47.62,261,0.0,5000,0.0,100
0.92,2.0,15,50,0.8682000000000001,0.87,0.004584514999187786,power_allocated,6.228553295135498,26.95,6.6,4341,0.0,5000,0.0,100
0.92,2.25,15,50,0.7924,0.8,0.006200553901617878,power_allocated,11.650180101394653,27.24,10.44,3962,0.0,5000,0.0,100
0.92,2.5,15,50,0.6980000000000001,0.7,0.00749140922131558,power_allocated,18.84691834449768,27.4,15.18,3490,0.0,5000,0.0,100
0.92,2.75,15,50,0.585,0.58,0.0075337623905705805,power_allocated,19.972516298294067,27.37,20.89,2925,0.0,5000,0.0,100
0.92,3.0,15,50,0.46599999999999997,0.46,0.00678977246312497,power_allocated,26.67178225517273,27.06,26.85,2330,0.0,5000,0.0,100
0.93,3.25,15,50,0.3495999999999999,0.34,0.0067298821038197345,power_allocated,15.852041006088257,25.95,32.74,1748,0.0,5000,0.0,100
