J,Ka,allocation,fail_EbN0_dB,fail_Pe,pass_EbN0_dB,pass_Pe,status,threshold_EbN0_dB,tolerance_dB,trials
15,50,flat,4.34375,0.05219999999999999,4.375,0.04979999999999998,complete,4.375,0.05,100
15,50,power_allocated,4.4375,0.051000000000000004,4.46875,0.048,complete,4.46875,0.05,100
15,100,flat,4.40625,0.0508,4.4375,0.046099999999999995,complete,4.4375,0.05,100
15,100,power_allocated,4.4375,0.050900000000000015,4.46875,0.048400000000000006,complete,4.46875,0.05,100
15,150,flat,4.5,0.054133333333333325,4.53125,0.04920000000000001,complete,4.53125,0.05,100
15,150,power_allocated,4.5625,0.0508,4.59375,0.04626666666666668,complete,4.59375,0.05,100
15,200,flat,4.59375,0.0512,4.625,0.0471,complete,4.625,0.05,100
15,200,power_allocated,4.625,0.05210000000000001,4.65625,0.047650000000000005,complete,4.65625,0.05,100
15,250,flat,4.71875,0.05144,4.75,0.046439999999999995,complete,4.75,0.05,100
15,250,power_allocated,4.75,0.05131999999999999,4.78125,0.046159999999999986,complete,4.78125,0.05,100
15,300,flat,5.25,0.05313333333333334,5.28125,0.014433333333333331,complete,5.28125,0.05,100
15,300,power_allocated,5.21875,0.07326666666666667,5.25,0.031066666666666666,complete,5.25,0.05,100
20,50,flat,2.78125,0.05299999999999999,2.8125,0.048999999999999995,complete,2.8125,0.05,100
20,50,power_allocated,3.53125,0.05079999999999999,3.5625,0.04699999999999999,complete,3.5625,0.05,100
20,100,flat,2.84375,0.053899999999999997,2.875,0.0489,complete,2.875,0.05,100
20,100,power_allocated,3.59375,0.051,3.625,0.0469,complete,3.625,0.05,100
20,150,flat,2.96875,0.05133333333333335,3.0,0.047,complete,3.0,0.05,100
20,150,power_allocated,3.625,0.05399999999999999,3.65625,0.04966666666666666,complete,3.65625,0.05,100
20,200,flat,3.03125,0.05325000000000001,3.0625,0.0479,complete,3.0625,0.05,100
20,200,power_allocated,3.71875,0.05115,3.75,0.04650000000000001,complete,3.75,0.05,100
20,250,flat,3.40625,0.06528,3.4375,0.02536,complete,3.4375,0.05,100
20,250,power_allocated,3.78125,0.050679999999999996,3.8125,0.046239999999999996,complete,3.8125,0.05,100
20,300,flat,4.96875,0.07013333333333334,5.0,0.04013333333333333,complete,5.0,0.05,100
20,300,power_allocated,4.25,0.05216666666666667,4.28125,0.022166666666666664,complete,4.28125,0.05,100
