P_FA,P_MD_exact,P_MD_OR
9.999999999999999547e-07,9.122064807329441916e-01,9.442117118444836033e-01
1.023340212191642242e-06,9.116797594526789839e-01,9.436849880905098242e-01
1.047225189888435394e-06,9.111489211924957976e-01,9.431538667972637624e-01
1.071667648032864460e-06,9.106139372279541400e-01,9.426183184551963912e-01
1.096680598336867487e-06,9.100747787281948664e-01,9.420783134478709631e-01
1.122277356208507171e-06,9.095314167568163688e-01,9.415338220528454150e-01
1.148471547840288990e-06,9.089838222727713024e-01,9.409848144425783101e-01
1.175277117462945113e-06,9.084319661312866279e-01,9.404312606853572065e-01
1.202708334768512033e-06,9.078758190848068566e-01,9.398731307462511175e-01
1.230779802506665817e-06,9.073153517839590565e-01,9.393103944880857314e-01
1.259506464258358937e-06,9.067505347785429493e-01,9.387430216724443888e-01
1.288903612390891551e-06,9.061813385185433223e-01,9.381709819606912637e-01
1.318986896198669140e-06,9.056077333551655340e-01,9.375942449150197477e-01
1.349772330233941795e-06,9.050296895418977750e-01,9.370127799995263684e-01
1.381276302832009359e-06,9.044471772355933137e-01,9.364265565813076897e-01
1.413515584835395657e-06,9.038601664975817185e-01,9.358355439315848567e-01
1.446507338521647125e-06,9.032686272948002859e-01,9.352397112268502344e-01
1.480269126739510015e-06,9.026725295009551120e-01,9.346390275500441325e-01
1.514818922258347287e-06,9.020718428977025916e-01,9.340334618917525145e-01
1.550175117335768781e-06,9.014665371758604495e-01,9.334229831514355702e-01
1.586356533508589652e-06,9.008565819366406435e-01,9.328075601386779381e-01
1.623382431612278295e-06,9.002419466929121317e-01,9.321871615744707906e-01
1.661272522034292912e-06,8.996226008704852894e-01,9.315617560925159024e-01
1.700046975206718038e-06,8.989985138094275241e-01,9.309313122405604712e-01
1.739726432343802417e-06,8.983696547653999831e-01,9.302957984817562531e-01
1.780332016430115722e-06,8.977359929110267922e-01,9.296551831960504497e-01
1.821885343465165254e-06,8.970974973372864980e-01,9.290094346815995774e-01
1.864408533970485275e-06,8.964541370549340416e-01,9.283585211562153106e-01
1.907924224765265228e-06,8.958058809959483781e-01,9.277024107588371926e-01
1.952455581016861103e-06,8.951526980150094071e-01,9.270410715510339905e-01
1.998026308572550550e-06,8.944945568910003253e-01,9.263744715185336931e-01
2.044660666579117617e-06,8.938314263285417338e-01,9.257025785727834855e-01
2.092383480396979220e-06,8.931632749595515008e-01,9.250253605525388112e-01
2.141220154815731673e-06,8.924900713448343792e-01,9.243427852254815225e-01
2.191196687578147241e-06,8.918117839756996013e-01,9.236548202898676729e-01
2.242339683219845034e-06,8.911283812756101153e-01,9.229614333762080625e-01
2.294676367231935999e-06,8.904398316018576898e-01,9.222625920489742057e-01
2.348234600554276300e-06,8.897461032472709919e-01,9.215582638083408273e-01
2.403042894406969757e-06,8.890471644419507546e-01,9.208484160919538919e-01
2.459130425468046297e-06,8.883429833550373633e-01,9.201330162767331622e-01
2.516527051405389061e-06,8.876335280965075292e-01,9.194120316807052884e-01
2.575263326771198816e-06,8.869187667190016056e-01,9.186854295648674285e-01
2.635370519267393157e-06,8.861986672196812131e-01,9.179531771350832869e-01
2.696880626390692452e-06,8.854731975421199497e-01,9.172152415440129047e-01
2.759826392466180516e-06,8.847423255782228546e-01,9.164715898930716476e-01
2.824241326078435869e-06,8.840060191701792913e-01,9.157221892344244996e-01
2.890159717909511546e-06,8.832642461124453614e-01,9.149670065730108881e-01
2.957616658993256599e-06,8.825169741537612911e-01,9.142060088686053687e-01
3.026648059395689231e-06,8.817641709991977939e-01,9.134391630379079530e-01
3.097290667331406829e-06,8.810058043122377391e-01,9.126664359566714069e-01
3.169582088726115117e-06,8.802418417168879072e-01,9.118877944618603015e-01
3.243560807235811409e-06,8.794722507998249394e-01,9.111032053538438147e-01
3.319266204733189963e-06,8.786969991125744839e-01,9.103126353986243924e-01
3.396738582272209713e-06,8.779160541737228707e-01,9.095160513300992733e-01
