S_in,E_required_dB,eta_required,gamma_effective_required,beta,q_active,gamma_target,Ka
5.000000000000000278e-02,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.355443200000000070e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.983935742971888128e-02,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,4.015751299598393962e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
6.967871485943775978e-02,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,4.676059399196787854e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
7.951807228915663828e-02,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,5.336367498795181746e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
8.935742971887550290e-02,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,5.996675598393574182e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
9.919678714859439528e-02,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,6.656983697991969530e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.090361445783132599e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,7.317291797590361966e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.188755020080321384e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,7.977599897188755858e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.287148594377510169e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,8.637907996787149750e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.385542168674698815e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,9.298216096385542187e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.483935742971887739e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,9.958524195983937534e+04,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.582329317269076663e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.061883229558233143e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.680722891566265309e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.127914039518072386e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.779116465863453955e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.193944849477911775e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.877510040160642601e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.259975659437751019e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
1.975903614457831803e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.326006469397590554e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.074297188755020449e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.392037279357429943e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.172690763052209095e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.458068089317269332e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.271084337349397742e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.524098899277108430e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.369477911646586388e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.590129709236947820e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.467871485943775589e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.656160519196787500e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.566265060240964235e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.722191329156626889e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.664658634538152882e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.788222139116465987e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.763052208835341528e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.854252949076305376e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.861445783132530174e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.920283759036144475e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
2.959839357429719375e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,1.986314568995984155e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.058232931726908022e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.052345378955823544e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.156626506024096668e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.118376188915662933e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.255020080321285314e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.184406998875502031e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.353413654618473960e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.250437808835341420e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.451807228915663162e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.316468618795181101e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
