J,Ka,S_in,n,M,operator,denoiser,trials,E_required_dB,threshold_z,pmd,pfa,pmd_standard_error,pfa_standard_error,true_active,true_inactive,missed_detections,false_alarms,max_missed_detections,max_false_alarms,mean_iterations,converged_fraction,elapsed_seconds,seed,status,config_key,threshold_method,schema_version
15,181,0.25,86880,262144,hadamard,or,10,1.453125,3.9054322447730074,0.006233118637024725,5.5235882149642446e-05,0.0006549775251816465,4.60286305226982e-06,14439,2607001,90,144,90,144,14.1,0.9,117.21088123321533,12345,ok,f104880903a13330,same_sample_empirical_roc_order_statistic,3
15,181,0.5,43440,262144,hadamard,or,10,1.515625,3.891567310097227,0.0060253480157905675,5.5235882149642446e-05,0.000644036030476387,4.60286305226982e-06,14439,2607001,87,144,90,144,12.7,1.0,99.97947788238525,12345,ok,205588d23f36c626,same_sample_empirical_roc_order_statistic,3
15,181,0.75,28960,262144,hadamard,or,10,1.421875,3.8778362698623554,0.005958567172452019,5.523575502482349e-05,0.0006406116868374967,4.602852459120072e-06,14433,2607007,86,144,90,144,15.8,1.0,83.42597317695618,12345,ok,8c7e6eae78e9a610,same_sample_empirical_roc_order_statistic,3
15,181,1.0,21720,262144,hadamard,or,10,1.484375,3.8686630280100935,0.006020344612829562,5.523613640103583e-05,0.0006435028474814934,4.6028842387155914e-06,14451,2606989,87,144,90,144,21.7,0.9,86.85287499427795,12345,ok,701521b0a22f0c35,same_sample_empirical_roc_order_statistic,3
15,181,1.25,17376,262144,hadamard,or,10,1.609375,3.8423704788596895,0.0062318238471125885,5.5235945712271354e-05,0.0006548418949629286,4.602868348862978e-06,14442,2606998,90,144,90,144,23.3,0.9,90.1906008720398,12345,ok,d1fcd0634552ac10,same_sample_empirical_roc_order_statistic,3
15,181,1.5,14480,262144,hadamard,or,10,1.578125,3.8815154731637382,0.006022011490274797,5.52360516503113e-05,0.0006436804770295732,4.60287717654533e-06,14447,2606993,87,144,90,144,29.9,0.8,114.0800940990448,12345,ok,bfdfe3eb19105e85,same_sample_empirical_roc_order_statistic,3
15,181,1.75,12411,262144,hadamard,or,10,1.609375,3.871941247432502,0.006027017665396606,5.523579739969812e-05,0.0006442139545377537,4.60285599016457e-06,14435,2607005,87,144,90,144,29.7,1.0,108.99657392501831,12345,ok,2f9db55747ce06f7,same_sample_empirical_roc_order_statistic,3
15,181,2.0,10860,262144,hadamard,or,10,1.59375,3.8409134272435117,0.006166424166839881,5.523575502482349e-05,0.0006516212282967333,4.602852459120072e-06,14433,2607007,89,144,90,144,41.6,0.8,99.38800573348999,12345,ok,7d6fb14068e7bb2b,same_sample_empirical_roc_order_statistic,3
15,181,2.25,9653,262144,hadamard,or,10,2.640625,3.874226286302657,0.0002769699487605595,5.5235945712271354e-05,0.00013846579496402817,4.602868348862978e-06,14442,2606998,4,144,90,144,34.4,0.9,82.3465690612793,12345,ok,bb8fca37f6d86b33,same_sample_empirical_roc_order_statistic,3
15,181,2.5,8688,262144,hadamard,or,10,4.890625,3.829334591868792,0.00027689325764917625,5.52360304626708e-05,0.00013842746002853577,4.6028754110061514e-06,14446,2606994,4,144,90,144,32.7,0.8,107.67255902290344,12345,ok,647d1bd7c28fce2d,same_sample_empirical_roc_order_statistic,3
