J,Ka,S_in,n,M,operator,denoiser,trials,E_required_dB,threshold_z,pmd,pfa,pmd_standard_error,pfa_standard_error,true_active,true_inactive,missed_detections,false_alarms,max_missed_detections,max_false_alarms,mean_iterations,converged_fraction,elapsed_seconds,seed,status,config_key,threshold_method,schema_version
20,1024,0.25,655360,8388608,hadamard,or,10,0.609375,4.265037112469363,0.005887742014291822,9.760845561288296e-06,0.0002673886492971971,3.412782961848065e-07,81865,83804215,482,818,511,818,10.0,1.0,245.16953706741333,12345,ok,24a129816433711f,same_sample_empirical_roc_order_statistic,3
20,1024,0.5,327680,8388608,hadamard,or,10,0.671875,4.269346507676496,0.006191988275525159,9.760847308368794e-06,0.00027414314607932146,3.4127835726944734e-07,81880,83804200,507,818,511,818,12.9,1.0,296.50368905067444,12345,ok,1e0d2f098a9e73e9,same_sample_empirical_roc_order_statistic,3
20,1024,0.75,218453,8388608,hadamard,or,10,0.640625,4.263681593745711,0.005984294280724466,9.760847424840849e-06,0.0002695327393684444,3.4127836134175745e-07,81881,83804199,490,818,511,818,15.1,1.0,343.4328558444977,12345,ok,be71861fe997800c,same_sample_empirical_roc_order_statistic,3
20,1024,1.0,163840,8388608,hadamard,or,10,0.703125,4.2621957139889455,0.006241145146318823,9.7608468424806e-06,0.00027522909269550355,3.4127834098020766e-07,81876,83804204,511,818,511,818,17.4,1.0,401.991986989975,12345,ok,454eaa99b49e9c98,same_sample_empirical_roc_order_statistic,3
20,1024,1.25,131072,8388608,hadamard,or,10,0.703125,4.246251995216123,0.006069635943968834,9.760847657784967e-06,0.00027143286309966455,3.412783694863781e-07,81883,83804197,497,818,511,818,20.5,1.0,469.8790228366852,12345,ok,d3bcf5b5536fdfdb,same_sample_empirical_roc_order_statistic,3
20,1024,1.5,109227,8388608,hadamard,or,10,0.765625,4.2635894794143665,0.006057497374270291,9.760847541312907e-06,0.000271164621711587,3.412783654140677e-07,81882,83804198,496,818,511,818,24.2,1.0,563.1890349388123,12345,ok,f0d1ff28c2983fe6,same_sample_empirical_roc_order_statistic,3
20,1024,1.75,93623,8388608,hadamard,or,10,0.828125,4.2732616272687,0.006070970500213766,9.760845561288296e-06,0.00027149236191131414,3.412782961848065e-07,81865,83804215,497,818,511,818,29.0,1.0,675.4670741558075,12345,ok,317ac61e947923d2,same_sample_empirical_roc_order_statistic,3
20,1024,2.0,81920,8388608,hadamard,or,10,0.828125,4.257323313368975,0.006205110665950066,9.760845910704346e-06,0.00027445178186412855,3.412783084017329e-07,81868,83804212,508,818,511,818,46.6,0.7,939.831661939621,12345,ok,7b1872dcc7a59bb2,same_sample_empirical_roc_order_statistic,3
20,1024,2.25,72818,8388608,hadamard,or,10,2.3125,4.274614114176667,0.0008793141349747197,9.760847541312907e-06,0.00010358259373069318,3.412783654140677e-07,81882,83804198,72,818,511,818,42.4,0.8,1210.0881431102753,12345,ok,40b053c65e6e4a35,same_sample_empirical_roc_order_statistic,3
20,1024,2.5,65536,8388608,hadamard,or,10,4.84375,4.27685136693292,0.0018076115100884263,9.7608468424806e-06,0.00014845039835535167,3.4127834098020766e-07,81876,83804204,148,818,511,818,38.8,0.8,1714.9405241012573,12345,ok,2e63b9a3b836b18b,same_sample_empirical_roc_order_statistic,3
