S_in,E_optimal_asymptotic_dB,E_amp_asymptotic_dB
5.000000000000000278e-02,-4.526570497267997872e+00,-4.448860248241096826e+00
5.983935742971888128e-02,-4.511666829699304770e+00,-4.418068546253163476e+00
6.967871485943775978e-02,-4.496746329579695001e+00,-4.387056969665630746e+00
7.951807228915663828e-02,-4.481808997424433727e+00,-4.355822355759610964e+00
8.935742971887550290e-02,-4.466854833827061277e+00,-4.324361473081832941e+00
9.919678714859439528e-02,-4.451883839459320313e+00,-4.292671019438387248e+00
1.090361445783132599e-01,-4.436896015071246424e+00,-4.260747619814729603e+00
1.188755020080321384e-01,-4.421891361491029571e+00,-4.228587824218686286e+00
1.287148594377510169e-01,-4.406869879625107345e+00,-4.196188105442979044e+00
1.385542168674698815e-01,-4.391831570458047729e+00,-4.163544856743670586e+00
1.483935742971887739e-01,-4.376776435052589953e+00,-4.130654389430698181e+00
1.582329317269076663e-01,-4.361704474549622290e+00,-4.097512930366465689e+00
1.680722891566265309e-01,-4.346615690168090573e+00,-4.064116619368260963e+00
1.779116465863453955e-01,-4.331510083205072803e+00,-4.030461506510026659e+00
1.877510040160642601e-01,-4.316387655035658355e+00,-3.996543549318745114e+00
1.975903614457831803e-01,-4.301248407112961303e+00,-3.962358609860510139e+00
2.074297188755020449e-01,-4.286092340968093772e+00,-3.927902451710972187e+00
2.172690763052209095e-01,-4.270919458210105546e+00,-3.893170736804658194e+00
2.271084337349397742e-01,-4.255729760525982286e+00,-3.858159022157281459e+00
2.369477911646586388e-01,-4.240523249680567375e+00,-3.822862756454856292e+00
2.467871485943775589e-01,-4.225299927516556586e+00,-3.787277276503064893e+00
2.566265060240964235e-01,-4.210059795954450124e+00,-3.751397803529957997e+00
2.664658634538152882e-01,-4.194802856992491336e+00,-3.715219439334640050e+00
2.763052208835341528e-01,-4.179529112706648064e+00,-3.678737162274201555e+00
2.861445783132530174e-01,-4.164238565250558466e+00,-3.641945823080650513e+00
