eta,g_Popt,g_Palg,g_Pstar,g_mixture,G_Popt,G_Palg,G_Pstar,G_mixture
2.999999999999999889e-02,-2.781145143794962493e+01,-2.636161203168357758e+01,-2.382578737416692860e+01,-2.704416826722670919e+01,1.006172423677252015e+00,1.037009529994761037e+00,1.111177476203089931e+00,1.026387024896674438e+00
3.036265110462692610e-02,-2.741342071725952678e+01,-2.596376167605900775e+01,-2.342886837602025807e+01,-2.664635156507515745e+01,9.961587432322682734e-01,1.027521602707196280e+00,1.102608999649804744e+00,1.016651561734085440e+00
3.072530220925385330e-02,-2.702479012960310101e+01,-2.557531599119841204e+01,-2.304138160920899026e+01,-2.625794117522536553e+01,9.862877045835041212e-01,1.018176250983454212e+00,1.094182755905088289e+00,1.007058661633197127e+00
3.108795331388078398e-02,-2.664523080065174554e+01,-2.519594619740003338e+01,-2.266299886585166945e+01,-2.587860835164696027e+01,9.765559583956504586e-01,1.008970123825454923e+00,1.085895383872303110e+00,9.976049729945186684e-01
3.145060441850770772e-02,-2.627442902663018742e+01,-2.482533868662491017e+01,-2.229340710750462407e+01,-2.550803951864815389e+01,9.669602718492280591e-01,9.998999867164301003e-01,1.077743638729156128e+00,9.882872606879000710e-01
3.181325552313463839e-02,-2.591208540987834397e+01,-2.446319415783121087e+01,-2.193230758593546170e+01,-2.514593540359067703e+01,9.574975232957134708e-01,9.909627162756886598e-01,1.069724386585910292e+00,9.791024007082527181e-01
3.217590662776156907e-02,-2.555791405244254122e+01,-2.410922681264384693e+01,-2.157941507290182415e+01,-2.479201023744747800e+01,9.481646972156343445e-01,9.821552952160150785e-01,1.061834599442686322e+00,9.700473751334915962e-01
3.253855773238849280e-02,-2.521164180381058628e+01,-2.376316360159822594e+01,-2.123445709095752676e+01,-2.444599099927881269e+01,9.389588794592901300e-01,9.734748075835870651e-01,1.054071350425896503e+00,9.611192673644313178e-01
3.290120883701542348e-02,-2.487300755839753208e+01,-2.342474351917208253e+01,-2.089717318775258192e+01,-2.410761670925447220e+01,9.298772527512615405e-01,9.649184342623968735e-01,1.046431809295742754e+00,9.523152576298702376e-01
3.326385994164234722e-02,-2.454176159898532461e+01,-2.309371694924369223e+01,-2.056731431368654484e+01,-2.377663777867998007e+01,9.209170924413567771e-01,9.564834487251894224e-01,1.038913238198149624e+00,9.436326187377270802e-01
3.362651104626927789e-02,-2.421766498264716461e+01,-2.276984505099474632e+01,-2.024464220173486240e+01,-2.345281539474697752e+01,9.120757624859544554e-01,9.481672130144332966e-01,1.031512987641997725e+00,9.350687120555924992e-01
3.398916215089620857e-02,-2.390048896598348094e+01,-2.245289918485720193e+01,-1.992892876670029167e+01,-2.313592094076691907e+01,9.033507116449146501e-01,9.399671739387368552e-01,1.024228492697742077e+00,9.266209837079690814e-01
3.435181325552313231e-02,-2.359001446672822411e+01,-2.214266037606128990e+01,-1.961995558593613254e+01,-2.282573546145756893e+01,8.947394698803338153e-01,9.318808594706253778e-01,1.017057269399118891e+00,9.182869609755941465e-01
3.471446436015006298e-02,-2.328603155873988584e+01,-2.183891880455035661e+01,-1.931751340786022908e+01,-2.252204916053734252e+01,8.862396449444944757e-01,9.239058753340826380e-01,1.009996911328130409e+00,9.100642488828187826e-01
3.507711546477698672e-02,-2.298833899941541503e+01,-2.154147333403113151e+01,-1.902140165264010818e+01,-2.222466092299365314e+01,8.778489191450791207e-01,9.160399017699797364e-01,1.003045086379686257e+00,9.019505269627121624e-01
3.543976656940391740e-02,-2.269674378527908232e+01,-2.125013106808839680e+01,-1.873142796459884352e+01,-2.193337787005899742e+01,8.695650462766579825e-01,9.082806904673861315e-01,9.961995336979443394e-01,8.939435461894824630e-01
3.580241767403084807e-02,-2.241106073459582149e+01,-2.096470693298715560e+01,-1.844740783024909092e+01,-2.164801494864317988e+01,8.613858487084438131e-01,9.006260616510176620e-01,9.894580607630718561e-01,8.860411260660412403e-01
3.616506877865777181e-02,-2.213111209522359601e+01,-2.068502328858755135e+01,-1.816916415966256437e+01,-2.136839453408743594e+01,8.533092146188352434e-01,8.930739013148839556e-01,9.828185406231755294e-01,8.782411518580430787e-01
3.652771988328470248e-02,-2.185672717582527724e+01,-2.041090955494843584e+01,-1.789652689840351485e+01,-2.109434605766498549e+01,8.453330953679363269e-01,8.856221585941926877e-01,9.762789092725048246e-01,8.705415719675001496e-01
3.689037098791162622e-02,-2.158774199883264799e+01,-2.014220186504849153e+01,-1.762933272567458687e+01,-2.082570566824306724e+01,8.374555029998762556e-01,8.782688432679324197e-01,9.698371631547583194e-01,8.629403954352909967e-01
3.725302209253855690e-02,-2.132399897368015829e+01,-1.987874273960523297e+01,-1.736742470755835654e+01,-2.056231590166795797e+01,8.296745078673030127e-01,8.710120233833869019e-01,9.634913567839969994e-01,8.554356895649652959e-01
